LineId,DateTime,Content,EventId,EventTemplate,ParameterList
1,2020-04-10T16:25:45.000Z,"Snmpuser,188.18.3.80(SNMP),SMM,set snmp trap version(v3) succeed\n",3507a982,"Snmpuser,<*>(SNMP),SMM,set snmp trap version(v3) succeed\n",['188.18.3.80']
2,2020-04-10T16:25:46.000Z,"Snmpuser,188.18.3.80(SNMP),SMM,Set trap user(Snmpuser) succeed \n",de7bc200,"Snmpuser,<*>(SNMP),SMM,Set trap user(Snmpuser) succeed \n",['188.18.3.80']
3,2020-04-10T16:25:46.000Z,"Snmpuser,188.18.3.80(SNMP),SMM,set trap format(object identifier (OID) mode) succeed\n",9b6e2388,"Snmpuser,<*>(SNMP),SMM,set trap format(object identifier (OID) mode) succeed\n",['188.18.3.80']
4,2020-04-10T17:26:06.000Z,"Snmpuser,188.18.3.80(SNMP),SMM,Set trap user(Snmpuser) succeed \n",de7bc200,"Snmpuser,<*>(SNMP),SMM,Set trap user(Snmpuser) succeed \n",['188.18.3.80']
5,2020-04-10T17:26:06.000Z,"Snmpuser,188.18.3.80(SNMP),SMM,set snmp trap version(v3) succeed\n",3507a982,"Snmpuser,<*>(SNMP),SMM,set snmp trap version(v3) succeed\n",['188.18.3.80']
6,2020-04-10T17:26:07.000Z,"Snmpuser,188.18.3.80(SNMP),SMM,set trap format(object identifier (OID) mode) succeed\n",9b6e2388,"Snmpuser,<*>(SNMP),SMM,set trap format(object identifier (OID) mode) succeed\n",['188.18.3.80']
7,2020-04-10T18:26:26.000Z,"Snmpuser,188.18.3.80(SNMP),SMM,Set trap user(Snmpuser) succeed \n",de7bc200,"Snmpuser,<*>(SNMP),SMM,Set trap user(Snmpuser) succeed \n",['188.18.3.80']
8,2020-04-10T18:26:26.000Z,"Snmpuser,188.18.3.80(SNMP),SMM,set snmp trap version(v3) succeed\n",3507a982,"Snmpuser,<*>(SNMP),SMM,set snmp trap version(v3) succeed\n",['188.18.3.80']
9,2020-04-10T18:26:27.000Z,"Snmpuser,188.18.3.80(SNMP),SMM,set trap format(object identifier (OID) mode) succeed\n",9b6e2388,"Snmpuser,<*>(SNMP),SMM,set trap format(object identifier (OID) mode) succeed\n",['188.18.3.80']
10,2020-04-10T19:26:47.000Z,"Snmpuser,188.18.3.80(SNMP),SMM,set snmp trap version(v3) succeed\n",3507a982,"Snmpuser,<*>(SNMP),SMM,set snmp trap version(v3) succeed\n",['188.18.3.80']
11,2020-04-10T19:26:47.000Z,"Snmpuser,188.18.3.80(SNMP),SMM,set trap format(object identifier (OID) mode) succeed\n",9b6e2388,"Snmpuser,<*>(SNMP),SMM,set trap format(object identifier (OID) mode) succeed\n",['188.18.3.80']
